Sobralia mucronata
Specklinia alata
Specklinia picta
Spiranthes torta
Stanhopea ecornuta
Stanhopea graveolens
Stanhopea inodora
Stanhopea oculata
Stanhopea whittenii
Stelis bidentata
Stelis ciliaris
Stelis gracilis
Stelis microchila
Stelis oxypetala
Stelis purpurascens
Stelis rubens
Teuscheria pickiana
Trichopilia tortilis
Trichosalpinx blaisdelii
Trichosalpinx ciliaris
Trichosalpinx foliata
Trigonidium egertonianum
Vanilla hartii
Vanilla odorata
Vanilla pfaviana
Vanilla planifolia
Xylobium colleyi
